Cluster,Latitude,Longitude,o,c,e,a,n,o_std,c_std,e_std,a_std,n_std,Count,City
32,32.9074,-97.5322,0.6052802073210237,0.5052437641723356,0.5327380952380952,0.6350016196954972,0.571934726271461,0.1677046706464569,0.1652647159411345,0.2073949358711277,0.1703359982492808,0.1915223765490159,1029,"Azle, Texas"
33,35.36116026970954,-119.03125140041494,0.7226369802677942,0.557104474982382,0.4960469520789288,0.6782395172656801,0.5749867864693446,0.1620804548474573,0.1895054635322193,0.2145280755112245,0.1616678672086266,0.2058954840475941,1928,"Bakersfield, California"
34,39.232552680229475,-76.62446522525272,0.7381205991168397,0.5619666726339658,0.5123300977311003,0.6723448419328746,0.5652619478590657,0.15831839718513155,0.18782793131522174,0.2224703983025147,0.1640839116266663,0.21359374758585636,5040,"Baltimore, Maryland"
35,30.438018737166324,-91.16836103696096,0.7543324491600354,0.5512709991158267,0.5103890362511052,0.6541335101679929,0.5562997347480106,0.1640435725670546,0.1990873254912055,0.2284252056301112,0.1733232277151491,0.2223044714670708,1948,"Baton Rouge, Louisiana"
36,45.505399055752605,-122.82371815081542,0.7429820272958714,0.5470103048015235,0.4953263729618158,0.6539440997860559,0.5756477661170972,0.1655354567312087,0.18728942200228424,0.22549165595026213,0.16491037630556935,0.21206502139013786,13508,"Beaverton, Oregon"
37,39.53582914349276,-76.354342269188,0.6896472392638037,0.5512269938650307,0.5166666666666666,0.6434304703476483,0.5849182004089979,0.1759654857289915,0.1814421647606915,0.2308755434964183,0.169088727457483,0.2027498141999164,899,"Bel Air, Maryland"
38,48.76320841856806,-122.4737910306845,0.7567312870220787,0.5602113624124933,0.5141861873990307,0.6674912493268713,0.5592184975767367,0.1533916325830596,0.180581414317086,0.2222931510252757,0.1493612009093685,0.2080285134774119,1271,"Bellingham, Washington"
39,31.073546709470303,-97.47266532905296,0.6650219298245614,0.5258406432748538,0.5280336257309942,0.6460160818713451,0.5785818713450293,0.1768402165007048,0.1841484945061367,0.2334535301970916,0.1744243803618223,0.2003987533457184,623,"Belton, Texas"
40,44.0772792746114,-121.2923512953368,0.7611893315018315,0.5591804029304029,0.5035485347985348,0.660342261904762,0.5450148809523809,0.1559923533477226,0.1946435140175396,0.2262404870833478,0.165093718597882,0.2184447260033475,772,"Bend, Oregon"
41,36.35275119418483,-94.22026303219108,0.6852920601608955,0.5331409583770549,0.530889296956978,0.6510362014690452,0.5731243441762854,0.1718017678684605,0.1876754726943332,0.2327455263975233,0.1634997649703507,0.1964996951899071,963,"Bentonville, Arkansas"
42,37.78681935659576,-122.13466611305607,0.7446963865949188,0.5499171302195178,0.5183071000611784,0.6490715414382512,0.5572296730863996,0.15890035695012558,0.18769283753080243,0.22030523330942892,0.1590083172179234,0.20882503528001567,10925,"Berkeley, California"
43,45.77998017883756,-108.54409284649776,0.7184416118421053,0.541735197368421,0.4925644188596491,0.6509731359649124,0.5711006030701755,0.1689418319858205,0.1860509658379998,0.2266608151449176,0.1767787044112806,0.2084386402134469,671,"Billings, Montana"
44,33.495279113384484,-86.8038884910486,0.7324580598103574,0.5667304886943837,0.5196845368344275,0.6666484318016047,0.5596371261852662,0.1714683206916276,0.1961327231634838,0.2248991738786549,0.1675944685088903,0.2169460103462262,2346,"Birmingham, Alabama"
45,46.81855897790055,-100.8483652854512,0.6289364027077702,0.5497616699539776,0.5166747327537926,0.6614161005186646,0.5584509764531131,0.17257288374847166,0.17226573570739978,0.22387808197434575,0.15709171526215066,0.1931037556767809,1595,"Bismarck, North Dakota"
46,37.24513785714286,-80.4283063095238,0.7150142798857608,0.5852458180334557,0.5548500611995104,0.6723786209710323,0.533047735618115,0.1683906389064581,0.1903493375173331,0.2256793305977561,0.1572418564464902,0.2040722404840141,840,"Blacksburg, Virginia"
47,40.49107475552219,-88.97299143688903,0.7096824367641916,0.59414259302431,0.5605189432205255,0.6767100866456852,0.5368402413516209,0.1685241468697051,0.18867525200349483,0.2336128331543823,0.16307573829337105,0.2047314696525246,1513,"Bloomington, Illinois"
48,39.15558013059701,-86.52438264925374,0.75467605858007,0.5580627188793378,0.5404528812480102,0.6645375676536135,0.5715536453358803,0.1659359155094545,0.2053376714571221,0.2317982254298685,0.1578124095478312,0.2126516953479107,1072,"Bloomington, Indiana"
49,26.36873581367211,-80.10907676950998,0.7269320453031313,0.5970602931379081,0.56942593826338,0.6646263602043082,0.5225960470797246,0.1635080298441794,0.1912520831435789,0.2203802413760819,0.1575516188905932,0.2051551006088942,1653,"Boca Raton, Florida"
50,43.61506152927121,-116.22669526085224,0.7352508123476849,0.562677701056052,0.5236427024099648,0.6614879501760086,0.5482500676956404,0.1641670456560167,0.1916914083462674,0.2215713326359456,0.1645076953560399,0.2165829690572662,2511,"Boise, Idaho"
