Cluster,Latitude,Longitude,o,c,e,a,n,o_std,c_std,e_std,a_std,n_std,Count,City
205,38.23284814814815,-85.72297037037036,0.7226981833195706,0.5565820258739335,0.5312758051197357,0.6621077621800165,0.5557218552160749,0.17497299986491943,0.18752705116619317,0.21944926943977328,0.16035416873015365,0.2095606169176588,32697,Louisville
206,40.8343,-81.32176666666668,0.7226981833195706,0.5565820258739335,0.5312758051197357,0.6621077621800165,0.5557218552160749,0.17497299986491943,0.18752705116619317,0.21944926943977328,0.16035416873015365,0.2095606169176588,3633,Louisville
207,33.0194,-82.3885,0.7226981833195706,0.5565820258739335,0.5312758051197357,0.6621077621800165,0.5557218552160749,0.17497299986491943,0.18752705116619317,0.21944926943977328,0.16035416873015365,0.2095606169176588,1211,Louisville
208,43.069157142857144,-89.40467857142858,0.7217888243831639,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,19292,Madison
209,32.46585,-90.1128,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,2756,Madison
210,44.00805,-97.1143,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,2756,Madison
211,41.3089,-72.619,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,1378,Madison
212,41.802,-81.0561,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,1378,Madison
213,43.9139,-71.1303,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,1378,Madison
214,38.7596,-85.39845,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,2756,Madison
215,44.8039,-69.8439,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,1378,Madison
216,30.4788,-83.4055,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,1378,Madison
217,33.5967,-83.46119999999999,0.721788824383164,0.5740505563618771,0.5571631591678762,0.6695845428156749,0.5484851233671988,0.17013048849027643,0.19250938432143108,0.22094809692443498,0.16120230136750258,0.20772529434456247,2756,Madison
218,40.4627,-92.1856,0.7367277992277992,0.576496138996139,0.5170125482625483,0.6736647361647361,0.5484234234234234,0.1689175663589598,0.19087515030111166,0.22309782829004424,0.16684677597824893,0.20861021557478493,518,Memphis
219,42.86765,-82.7842,0.7398372931881968,0.5619930494177483,0.5192366958180211,0.670843412259075,0.5463126153261695,0.16708535539161876,0.19110180450376735,0.22192871256559477,0.16401192268142062,0.2107665062071557,1348,Memphis
220,36.8796,-94.8649,0.743356330650313,0.556151782292066,0.5502267790979941,0.652253417656829,0.5401734380988885,0.16072778107660632,0.18685394833445756,0.22051683655574777,0.16519846957846332,0.20919014631488075,2609,Miami
221,39.2821,-93.1968,0.743356330650313,0.556151782292066,0.5502267790979941,0.652253417656829,0.5401734380988885,0.16072778107660632,0.18685394833445756,0.22051683655574777,0.16519846957846332,0.20919014631488075,2609,Miami
222,33.396,-110.861,0.743356330650313,0.556151782292066,0.5502267790979941,0.652253417656829,0.5401734380988885,0.16072778107660632,0.18685394833445756,0.22051683655574777,0.16519846957846332,0.20919014631488075,2609,Miami
223,43.04621071428572,-87.95028928571428,0.717072072072072,0.5507432432432432,0.5273873873873873,0.6654504504504504,0.5661261261261261,0.16768836165641213,0.18400959817060417,0.21689376506519326,0.16071928206522904,0.19518744769775734,25900,Milwaukee
224,39.128,-97.6712,0.7303871864203095,0.5500413098993541,0.5347003154574133,0.6655118672074508,0.5483044164037855,0.16732075959388087,0.18821012750366806,0.2182006725081714,0.1556198356493924,0.20906831453329555,2219,Minneapolis
225,26.182233333333336,-81.76653333333334,0.6882407407407407,0.5409259259259259,0.5298148148148148,0.6392901234567901,0.5564506172839506,0.1699857040335379,0.1838359619994885,0.22516048391263277,0.1577571482433071,0.2040059462217511,6075,Naples
226,43.9681,-70.5988,0.6882407407407407,0.5409259259259259,0.5298148148148148,0.6392901234567901,0.5564506172839506,0.1699857040335379,0.1838359619994885,0.22516048391263277,0.1577571482433071,0.2040059462217511,675,Naples
227,36.14269142857143,-86.77192000000001,0.7574173151750972,0.5655398832684825,0.5414437418936445,0.674529831387808,0.5460238326848249,0.16365970074042938,0.19263531905007333,0.22332357397222868,0.1656793271100169,0.20830293721650484,35980,Nashville
228,33.9581,-93.875,0.7574173151750972,0.5655398832684825,0.5414437418936445,0.674529831387808,0.5460238326848249,0.16365970074042938,0.19263531905007333,0.22332357397222868,0.1656793271100169,0.20830293721650484,1028,Nashville
229,31.2033,-83.2321,0.7574173151750972,0.5655398832684825,0.5414437418936445,0.674529831387808,0.5460238326848249,0.16365970074042938,0.19263531905007333,0.22332357397222868,0.1656793271100169,0.20830293721650484,1028,Nashville
230,39.2367,-86.222,0.7574173151750972,0.5655398832684825,0.5414437418936445,0.674529831387808,0.5460238326848249,0.16365970074042938,0.19263531905007333,0.22332357397222868,0.1656793271100169,0.20830293721650484,1028,Nashville
231,38.334,-89.3889,0.7574173151750972,0.5655398832684825,0.5414437418936445,0.674529831387808,0.5460238326848249,0.16365970074042938,0.19263531905007333,0.22332357397222868,0.1656793271100169,0.20830293721650484,1028,Nashville
232,35.9843,-77.9595,0.7574173151750972,0.5655398832684825,0.5414437418936445,0.674529831387808,0.5460238326848249,0.16365970074042938,0.19263531905007333,0.22332357397222868,0.1656793271100169,0.20830293721650484,1028,Nashville
233,29.95693,-90.08892,0.7495019920318725,0.5733316733067729,0.5547808764940239,0.6670401726427623,0.5446547144754317,0.17115877718850797,0.19013429277104923,0.22653956681130882,0.1633030261361839,0.2111290978897351,10040,New Orleans
234,39.7334052631579,-75.60963157894737,0.7119356230594076,0.5567944078836516,0.5236905025418147,0.6692248210300707,0.5578997784359194,0.16682301185772364,0.18612850072336157,0.22070446357280554,0.156392111810463,0.20293657512805155,14318,Wilmington
235,40.065650000000005,-82.4015,0.7076743714517437,0.5531224655312247,0.5392589213300892,0.6571370640713706,0.572815287915653,0.16128776059851263,0.1844275822538062,0.22065187223135713,0.16140052766695726,0.2016926305553055,1644,Newark
236,37.337384444444446,-121.89095555555555,0.7284508211701406,0.5454172498597267,0.5039091232162443,0.6448895419703062,0.5730019238034509,0.1613406413855293,0.19193471694452474,0.218011168147177,0.15985459188770526,0.20872799716137178,87472,San Jose
237,43.0475,-77.094,0.7076743714517437,0.5531224655312247,0.5392589213300892,0.6571370640713706,0.572815287915653,0.16128776059851263,0.1844275822538062,0.22065187223135713,0.16140052766695726,0.2016926305553055,822,Newark
238,41.5264,-88.5321,0.7076743714517437,0.5531224655312247,0.5392589213300892,0.6571370640713706,0.572815287915653,0.16128776059851263,0.1844275822538062,0.22065187223135713,0.16140052766695726,0.2016926305553055,822,Newark
239,33.0052,-97.4835,0.7076743714517437,0.5531224655312247,0.5392589213300892,0.6571370640713706,0.572815287915653,0.16128776059851263,0.1844275822538062,0.22065187223135713,0.16140052766695726,0.2016926305553055,822,Newark
240,37.78929565217391,-122.36424347826086,0.7399489735881143,0.5450915850622668,0.5261645387015178,0.6497729895596381,0.5563274580429636,0.16103337522110564,0.18587429129798894,0.21813509265918699,0.15929653405306252,0.20533479875739927,115878,San Francisco
241,41.0304,-74.2331,0.7239583333333334,0.5312842653508771,0.5148368969298245,0.6533374451754387,0.5619517543859649,0.1687727313657187,0.17866766382759539,0.20683257838751865,0.15222217164422808,0.19544419561901485,608,Oakland
242,44.5133,-69.7403,0.7239583333333334,0.5312842653508771,0.5148368969298245,0.6533374451754387,0.5619517543859649,0.1687727313657187,0.17866766382759539,0.20683257838751865,0.15222217164422808,0.19544419561901485,608,Oakland
243,43.4565,-123.358,0.7239583333333334,0.5312842653508771,0.5148368969298245,0.6533374451754387,0.5619517543859649,0.1687727313657187,0.17866766382759539,0.20683257838751865,0.15222217164422808,0.19544419561901485,608,Oakland
244,39.4339,-79.3167,0.7239583333333334,0.5312842653508771,0.5148368969298245,0.6533374451754387,0.5619517543859649,0.1687727313657187,0.17866766382759539,0.20683257838751865,0.15222217164422808,0.19544419561901485,608,Oakland
245,35.47489487179487,-97.53093846153845,0.7391729797979798,0.5471275252525253,0.517361111111111,0.666824494949495,0.5680871212121212,0.170519963648168,0.19631101177741375,0.2352206882902553,0.16992066036461376,0.21830814091078524,25740,Oklahoma City
246,41.254337931034485,-96.00113103448275,0.727503765060241,0.5534952309236949,0.5083145080321285,0.6666039156626506,0.5542482429718876,0.1730428789916373,0.19971973181863523,0.2309568309367624,0.1694827025202182,0.2246046995749417,19256,Omaha
247,36.4648,-93.1865,0.727503765060241,0.5534952309236948,0.5083145080321285,0.6666039156626506,0.5542482429718876,0.1730428789916373,0.19971973181863523,0.2309568309367624,0.1694827025202182,0.2246046995749417,664,Omaha
248,28.516958974358975,-81.36263076923078,0.739149707061363,0.569332022818378,0.5488359543632438,0.6689793401171754,0.5215464076472401,0.1624334436018528,0.18947952683698807,0.2251530060441514,0.1624357895809442,0.2073997026756595,84318,Orlando
249,27.6648,-81.5158,0.739149707061363,0.569332022818378,0.5488359543632438,0.6689793401171754,0.5215464076472401,0.1624334436018528,0.18947952683698807,0.2251530060441514,0.1624357895809442,0.2073997026756595,2162,Orlando
250,39.97392444444445,-75.16956222222221,0.7411210705795431,0.5585017606622469,0.5345226841712537,0.6636346444155956,0.564685040757294,0.1659797546392208,0.19216231940720654,0.21440283514137848,0.15726311599085666,0.20629952975119095,110277,Philadelphia
251,32.7561,-89.1157,0.7414940332528829,0.5582009251810137,0.5349037945829981,0.663498927326361,0.5648380933226066,0.1660517397668818,0.1921484571290011,0.2141471784714871,0.1569578058096257,0.20625966985365898,2486,Philadelphia
